City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,cabedelo,-6.9811,-34.8339,79.47,74,77,11.77,BR,1668983461
121,talnakh,69.4865,88.3972,-19.5,95,96,4.85,RU,1668983508
122,margate,51.3813,1.3862,45.7,81,88,5.01,GB,1668983509
123,entroncamento,39.4667,-8.4667,61.83,97,68,5.46,PT,1668983510
124,qaanaaq,77.484,-69.3632,-8.54,75,3,5.68,GL,1668983248
125,ballina,-28.8667,153.5667,79.02,38,60,4.5,AU,1668983511
126,prince george,53.9166,-122.753,26.26,94,100,0.0,CA,1668983511
127,ijui,-28.3878,-53.9147,79.66,46,100,7.43,BR,1668983512
128,faya,18.3851,42.4509,55.51,56,9,7.27,SA,1668983513
129,ilulissat,69.2167,-51.1,23.02,74,100,0.0,GL,1668983513
130,torbay,47.6666,-52.7314,41.76,96,100,26.46,CA,1668983514
131,nikolskoye,59.7035,30.7861,22.91,96,63,3.18,RU,1668983514
132,kodiak,57.79,-152.4072,40.51,93,100,3.44,US,1668983515
133,pisco,-13.7,-76.2167,68.05,77,40,6.91,PE,1668983516
134,saskylakh,71.9167,114.0833,-29.67,100,87,3.02,RU,1668983326
135,aklavik,68.2191,-135.0107,7.03,100,91,3.36,CA,1668983517
136,nanortalik,60.1432,-45.2371,26.76,86,100,9.1,GL,1668983517
137,san jose,37.3394,-121.895,71.49,35,40,5.01,US,1668983384
138,gigmoto,13.7796,124.39,80.31,88,99,9.22,PH,1668983518
139,zyryanka,65.75,150.85,-33.52,98,46,5.41,RU,1668983519
140,casablanca,33.5928,-7.6192,62.33,72,83,5.99,MA,1668983325
141,bengkulu,-3.8004,102.2655,73.44,90,91,5.01,ID,1668983520
142,san patricio,28.017,-97.5169,53.83,62,100,7.94,US,1668983521
143,saint-philippe,-21.3585,55.7679,71.19,78,38,7.18,RE,1668983521
144,walvis bay,-22.9575,14.5053,65.35,68,100,9.22,NA,1668983522
145,pecangakan,-6.9302,109.1188,76.71,84,89,7.47,ID,1668983522
146,grand gaube,-20.0064,57.6608,72.37,73,3,1.01,MU,1668983523
147,mga,59.75,31.0667,22.95,97,72,3.04,RU,1668983524
148,dongsheng,39.8161,109.9776,28.53,48,11,5.5,CN,1668983524
149,quatre cocos,-20.2078,57.7625,72.09,80,5,6.13,MU,1668983525
150,wenling,28.3669,121.36,61.11,88,3,2.17,CN,1668983525
151,faanui,-16.4833,-151.75,78.39,74,61,18.23,PF,1668983526
152,ponta delgada,37.7333,-25.6667,67.5,88,75,14.97,PT,1668983527
153,okha,53.5739,142.9478,24.96,89,42,13.09,RU,1668983527
154,okhotsk,59.3833,143.3,18.36,94,100,13.98,RU,1668983528
155,longyearbyen,78.2186,15.6401,37.24,87,75,20.71,SJ,1668983528
156,bluff,-46.6,168.3333,59.25,79,80,9.04,NZ,1668983529
157,dikson,73.5069,80.5464,-19.37,95,20,7.85,RU,1668983530
158,kirzhach,56.15,38.8667,21.25,96,100,3.51,RU,1668983258
159,nacala,-14.5428,40.6728,76.42,85,16,9.28,MZ,1668983531
160,castro,-24.7911,-50.0119,63.55,88,73,7.63,BR,1668983531
161,terney,45.0503,136.6092,36.14,82,66,6.02,RU,1668983532
162,saint-pierre,-21.3393,55.4781,71.28,64,0,6.91,RE,1668983532
163,damaturu,11.747,11.9608,71.31,22,10,9.35,NG,1668983533
164,svetlaya,46.5389,138.3297,34.92,69,99,6.51,RU,1668983534
165,arraial do cabo,-22.9661,-42.0278,75.06,83,0,9.22,BR,1668983534
166,hilo,19.7297,-155.09,80.26,72,75,8.05,US,1668983474
167,kuytun,54.3419,101.5036,11.17,89,100,11.3,RU,1668983535
168,payo,-3.7508,103.6372,71.4,89,60,1.54,ID,1668983536
169,coquimbo,-29.9533,-71.3436,62.33,77,0,9.22,CL,1668983518
170,georgetown,5.4112,100.3354,79.23,95,20,5.01,MY,1668983537
171,bozoum,6.3193,16.3799,70.32,44,98,1.43,CF,1668983538
172,careiro da varzea,-3.2003,-59.8119,90.23,38,75,2.64,BR,1668983539
173,lucapa,-8.4192,20.7447,64.99,97,89,2.89,AO,1668983539
174,morbegno,46.1383,9.57,46.98,55,82,4.52,IT,1668983540
175,luba,3.4568,8.5547,79.56,85,95,11.14,GQ,1668983541
176,bonavista,48.6499,-53.1147,35.87,99,100,30.76,CA,1668983541
177,puerto ayora,-0.7393,-90.3518,75.16,94,100,7.0,EC,1668983542
178,polunochnoye,60.8697,60.4153,4.39,94,59,4.43,RU,1668983543
179,tiksi,71.6872,128.8694,-15.79,100,96,3.0,RU,1668983544
180,kupang,-10.1667,123.5833,77.58,100,75,1.14,ID,1668983544
181,gorontalo,0.5412,123.0595,76.1,94,99,3.36,ID,1668983545
182,susehri,40.1644,38.0867,49.62,65,100,3.36,TR,1668983545
183,mar del plata,-38.0023,-57.5575,62.1,97,100,17.27,AR,1668983546
184,san rafael del sur,11.8485,-86.4384,83.37,75,94,14.03,NI,1668983547
185,cusuna,15.85,-85.2333,75.43,88,100,2.55,HN,1668983548
186,pithoragarh,29.5833,80.2167,41.13,50,2,3.53,IN,1668983548
187,constitucion,-35.3333,-72.4167,62.65,58,0,17.29,CL,1668983288
188,dingle,10.9995,122.6711,77.7,92,83,4.63,PH,1668983549
189,barrow,71.2906,-156.7887,23.02,74,100,13.8,US,1668983550
190,hobart,-42.8794,147.3294,52.27,64,75,19.57,AU,1668983537
191,lavrentiya,65.5833,-171.0,19.53,86,100,15.5,RU,1668983551
192,severo-kurilsk,50.6789,156.125,34.88,69,98,5.12,RU,1668983552
193,erdenet,49.0333,104.0833,12.7,70,100,4.47,MN,1668983552
194,lunenburg,44.3835,-64.3155,35.65,89,74,16.11,CA,1668983553
195,eldorado,-23.7869,-54.2836,75.9,75,4,5.99,BR,1668983553
196,bundaberg,-24.85,152.35,84.22,83,19,1.99,AU,1668983554
